test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
1,10,8.771458148956299,1.4619096914927165,0.7928024037221161,"[2.3171989917755127, 1.5257248878479004, 2.1891210079193115, 1.7895891666412354, 0.9498240947723389]"
-1,10,12.261273384094238,2.0435455640157065,1.1264655771555545,"[2.4312121868133545, 3.181309223175049, 2.0776448249816895, 3.2536392211914062, 1.3174679279327393]"
1,8,8.054156303405762,1.6108312606811523,0.9078985114936079,"[1.8056581020355225, 2.7094810009002686, 2.1095640659332275, 1.4294531345367432]"
1,12,9.827987432479858,1.4039982046399797,0.7508214965201168,"[2.197816848754883, 1.5254390239715576, 0.9339280128479004, 1.2612388134002686, 1.4638898372650146, 2.4456748962402344]"
-1,12,12.265947818756104,1.7522782598223006,0.9111171391259868,"[1.8297548294067383, 2.2696259021759033, 1.7017037868499756, 1.6292710304260254, 3.3019042015075684, 1.5336880683898926]"
-1,16,11.831051111221313,1.3145612345801458,0.7533532134619938,"[1.7835021018981934, 1.1252789497375488, 2.1896867752075195, 2.0213887691497803, 0.14985299110412598, 1.8938560485839844, 1.0458612442016602, 1.621624231338501]"
1,10,8.443384408950806,1.4072307348251343,0.7653623527270289,"[2.245664119720459, 2.1577470302581787, 1.756993055343628, 1.0937211513519287, 1.1892590522766113]"
-1,14,14.183408737182617,1.7729260921478271,1.1082969806859544,"[3.605780839920044, 1.8295800685882568, 2.7656970024108887, 1.7013320922851562, 2.4378721714019775, 1.38969087600708, 0.45345568656921387]"
-1,16,10.821245908737183,1.2023606565263536,0.6150346459080254,"[2.2855889797210693, 1.853302001953125, 1.4859321117401123, 0.949836015701294, 1.3414709568023682, 0.821678876876831, 1.013740062713623, 1.0696969032287598]"
1,12,10.361595630645752,1.4802279472351074,0.9019137636503978,"[1.3336389064788818, 0.3656730651855469, 2.117893934249878, 2.669477939605713, 1.9253087043762207, 1.9496030807495117]"
