test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
1,2,24.493369102478027,12.246684551239014,12.246684551239014,[24.493369102478027]
1,4,24.60903024673462,8.203010082244873,6.0247580587602405,"[10.309638261795044, 14.299391984939575]"
-1,0,0.0,0.0,0.0,[]
-1,4,1.7541608810424805,0.5847202936808268,0.4283037882143294,"[1.0139849185943604, 0.7401759624481201]"
-1,2,0.414198637008667,0.2070993185043335,0.2070993185043335,[0.414198637008667]
1,2,29.22894310951233,14.614471554756165,14.614471554756165,[29.22894310951233]
1,2,29.541034936904907,14.770517468452454,14.770517468452454,[29.541034936904907]
-1,0,0.0,0.0,0.0,[]
1,6,17.983195781707764,4.495798945426941,3.280810477377351,"[8.797898054122925, 3.123661994934082, 6.061635732650757]"
-1,0,0.0,0.0,0.0,[]
