test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
-1,14,11.687807083129883,1.4609758853912354,0.9703801937538394,"[2.189491033554077, 1.741713285446167, 1.9892940521240234, 2.1018638610839844, 0.34176111221313477, 2.8378329277038574, 0.48585081100463867]"
1,2,1.1014280319213867,0.5507140159606934,0.5507140159606934,[1.1014280319213867]
-1,10,14.517043113708496,2.4195071856180825,1.92895713190625,"[5.061904191970825, 0.36575913429260254, 3.2856016159057617, 4.3258960247039795, 1.4778821468353271]"
-1,14,17.272477865219116,2.1590597331523895,1.908120881378073,"[0.605553150177002, 1.2697761058807373, 2.789857864379883, 0.6458609104156494, 2.1016910076141357, 6.197921991348267, 3.6618168354034424]"
1,4,0.32303905487060547,0.10767968495686848,0.0762014167898288,"[0.16523408889770508, 0.1578049659729004]"
-1,14,16.92127275466919,2.1151590943336487,1.4164730728388086,"[2.221637010574341, 1.9658851623535156, 4.509784698486328, 3.1896467208862305, 1.669769048690796, 3.110866069793701, 0.25368404388427734]"
1,4,1.971055030822754,0.6570183436075846,0.6448906336454123,"[1.5333149433135986, 0.4377400875091553]"
1,0,0.0,0.0,0.0,[]
-1,14,21.23258638381958,2.6540732979774475,2.9486587047801027,"[0.4776482582092285, 5.485856056213379, 8.670169115066528, 1.4137229919433594, 4.237981081008911, 0.41339588165283203, 0.5338129997253418]"
1,4,0.8829948902130127,0.2943316300710042,0.30196702133150416,"[0.7094578742980957, 0.173537015914917]"
