test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
-1,14,3.790844678878784,0.473855584859848,0.28748868007596384,"[0.24544000625610352, 0.3496410846710205, 0.5172827243804932, 0.7976639270782471, 0.7337827682495117, 0.2778050899505615, 0.8692290782928467]"
1,6,2.5365149974823,0.634128749370575,0.7517483707463156,"[0.29334092140197754, 0.3256549835205078, 1.9175190925598145]"
-1,12,4.721614837646484,0.6745164053780692,0.6002319008152892,"[0.18161702156066895, 0.4537029266357422, 0.7336258888244629, 0.6857240200042725, 0.6614599227905273, 2.0054850578308105]"
-1,12,6.8576133251190186,0.9796590464455741,0.6854500192870203,"[1.4774529933929443, 1.9016001224517822, 0.6696262359619141, 1.7416431903839111, 0.25365471839904785, 0.813636064529419]"
1,2,0.8693587779998779,0.43467938899993896,0.43467938899993896,[0.8693587779998779]
-1,12,4.114046573638916,0.5877209390912738,0.4463262297189991,"[0.30971193313598633, 1.0298960208892822, 1.1895949840545654, 0.23765897750854492, 1.0455348491668701, 0.301649808883667]"
1,2,0.21317505836486816,0.10658752918243408,0.10658752918243408,[0.21317505836486816]
1,0,0.0,0.0,0.0,[]
1,6,1.0402586460113525,0.26006466150283813,0.18429209011623793,"[0.3815159797668457, 0.4774649143218994, 0.18127775192260742]"
-1,14,6.070915937423706,0.7588644921779633,0.8502650336086303,"[2.757511854171753, 1.3412861824035645, 0.749366044998169, 0.3259761333465576, 0.27748990058898926, 0.14976906776428223, 0.4695167541503906]"
