test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
-1,8,5.150061130523682,1.0300122261047364,0.8026115166618895,"[2.245291233062744, 0.34174299240112305, 1.0779480934143066, 1.4850788116455078]"
-1,8,5.551546335220337,1.1103092670440673,0.7093208175757568,"[1.1828410625457764, 0.965404748916626, 1.173792839050293, 2.2295076847076416]"
1,4,6.645189046859741,2.2150630156199136,1.613595568573738,"[2.847559928894043, 3.7976291179656982]"
1,6,5.984562635421753,1.4961406588554382,1.175713251310983,"[3.293705940246582, 1.4293937683105469, 1.261462926864624]"
1,6,4.44855260848999,1.1121381521224976,0.757257272614448,"[0.8692097663879395, 1.5899388790130615, 1.9894039630889893]"
1,2,1.2053048610687256,0.6026524305343628,0.6026524305343628,[1.2053048610687256]
-1,4,4.156141042709351,1.3853803475697835,1.0348686630265478,"[1.669450044631958, 2.4866909980773926]"
-1,2,0.869239091873169,0.4346195459365845,0.4346195459365845,[0.869239091873169]
1,2,2.7493929862976074,1.3746964931488037,1.3746964931488037,[2.7493929862976074]
-1,2,1.3590097427368164,0.6795048713684082,0.6795048713684082,[1.3590097427368164]
