test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
-1,6,6.3601813316345215,1.5900453329086304,1.2450592698746927,"[1.44535493850708, 3.4934771060943604, 1.421349287033081]"
1,6,9.23294472694397,2.3082361817359924,2.1199522070265355,"[0.9974148273468018, 2.63759708404541, 5.597932815551758]"
-1,10,10.148342847824097,1.6913904746373494,1.570692356041519,"[1.533473014831543, 2.9497790336608887, 0.07774686813354492, 1.1659018993377686, 4.421442031860352]"
1,6,9.104410171508789,2.2761025428771973,1.9137005043730677,"[1.4292199611663818, 2.445720911026001, 5.229469299316406]"
1,8,10.43055772781372,2.086111545562744,1.5640190512722352,"[3.6937320232391357, 1.0615878105163574, 4.085676908493042, 1.5895609855651855]"
-1,8,4.615590810775757,0.9231181621551514,0.6442582155303122,"[0.7493529319763184, 1.5353147983551025, 0.5735340118408203, 1.7573890686035156]"
1,8,6.711857557296753,1.3423715114593506,1.2030867745927942,"[1.3092408180236816, 1.503361701965332, 3.477795124053955, 0.4214599132537842]"
1,8,6.358227968215942,1.2716455936431885,1.2771114979437652,"[3.493346929550171, 1.6298871040344238, 1.1733169555664062, 0.061676979064941406]"
-1,4,6.667140007019043,2.222380002339681,1.5734159035375213,"[3.237514019012451, 3.429625988006592]"
-1,8,6.581627130508423,1.3163254261016846,0.7219430878126328,"[1.2136592864990234, 1.5334110260009766, 2.1333119869232178, 1.701244831085205]"
