test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
-1,2,2.213334083557129,1.1066670417785645,1.1066670417785645,[2.213334083557129]
-1,10,18.68882441520691,3.1148040692011514,3.4636364531577386,"[0.4938490390777588, 1.165870189666748, 1.1017391681671143, 8.480997085571289, 7.446368932723999]"
1,2,0.46958017349243164,0.23479008674621582,0.23479008674621582,[0.46958017349243164]
-1,4,26.31015920639038,8.770053068796793,10.142331335557234,"[3.325788974761963, 22.984370231628418]"
1,0,0.0,0.0,0.0,[]
-1,4,24.82117509841919,8.273725032806396,9.027546149349142,"[20.831038236618042, 3.9901368618011475]"
-1,4,13.059751987457275,4.353250662485759,5.385669934531903,"[1.1173841953277588, 11.942367792129517]"
1,2,3.229624032974243,1.6148120164871216,1.6148120164871216,[3.229624032974243]
1,0,0.0,0.0,0.0,[]
1,6,5.232679843902588,1.308169960975647,1.4651090007472074,"[1.5574991703033447, 3.605658769607544, 0.06952190399169922]"
