test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
1,2,0.8453528881072998,0.4226764440536499,0.4226764440536499,[0.8453528881072998]
1,6,4.407864093780518,1.1019660234451294,0.8617081298666784,"[1.3571960926055908, 0.7091810703277588, 2.341486930847168]"
-1,12,3.7296996116638184,0.5328142302376884,0.45968100773432946,"[0.9815571308135986, 0.8137891292572021, 0.30955004692077637, 0.037577152252197266, 0.30177998542785645, 1.2854461669921875]"
-1,10,8.555132389068604,1.4258553981781006,0.7765583159484859,"[2.1013240814208984, 0.9813880920410156, 2.2371878623962402, 1.3017210960388184, 1.9335112571716309]"
1,12,5.849139451980591,0.8355913502829415,1.0010885623079309,"[0.2931840419769287, 1.053797960281372, 0.2533988952636719, 3.0695319175720215, 0.07737970352172852, 1.1018469333648682]"
-1,10,8.013060092926025,1.335510015487671,1.0399739707012021,"[0.829293966293335, 0.9756741523742676, 0.7491788864135742, 2.9415810108184814, 2.517332077026367]"
-1,8,3.949568033218384,0.7899136066436767,0.5434588484315074,"[1.0457367897033691, 0.829214334487915, 1.613231897354126, 0.46138501167297363]"
-1,6,6.7608561515808105,1.6902140378952026,1.5037519882108492,"[1.7254259586334229, 0.9657001495361328, 4.069730043411255]"
1,10,6.251478910446167,1.0419131517410278,0.8927812286651577,"[0.3256070613861084, 1.0376439094543457, 2.133625030517578, 2.3172080516815186, 0.4373948574066162]"
1,10,4.652290105819702,0.7753816843032837,0.9782678913017051,"[2.661604166030884, 0.05387282371520996, 0.061357975006103516, 0.4377880096435547, 1.4376671314239502]"
