test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
1,0,0.0,0.0,0.0,[]
1,6,2.1754448413848877,0.5438612103462219,0.4096213112983712,"[1.1492688655853271, 0.5720839500427246, 0.45409202575683594]"
1,8,3.9237494468688965,0.7847498893737793,0.4951280277135244,"[0.5500867366790771, 1.419881820678711, 1.1739070415496826, 0.7798738479614258]"
-1,10,5.490310430526733,0.9150517384211222,0.990871884374628,"[0.7420599460601807, 0.7162389755249023, 0.5742039680480957, 3.0599377155303955, 0.3978698253631592]"
-1,14,4.9405200481414795,0.6175650060176849,0.35934775468566,"[0.638221025466919, 0.45218610763549805, 1.021902084350586, 1.268094778060913, 0.4781620502471924, 0.5959360599517822, 0.48601794242858887]"
-1,14,4.6446123123168945,0.5805765390396118,0.35081717403291546,"[1.1499099731445312, 0.7402501106262207, 0.39797091484069824, 0.1881730556488037, 0.6621413230895996, 0.604119062423706, 0.902047872543335]"
-1,12,6.254800796508789,0.893542970929827,0.8172482182685608,"[0.3262772560119629, 0.41221022605895996, 0.9419529438018799, 1.5401880741119385, 0.48624515533447266, 2.547927141189575]"
-1,12,6.58385705947876,0.9405510084969657,0.5181506908649698,"[1.0700039863586426, 0.582503080368042, 1.173840045928955, 0.6759421825408936, 1.589608907699585, 1.4919588565826416]"
1,10,7.914063930511475,1.3190106550852458,1.1964490940808632,"[1.0701639652252197, 3.5878870487213135, 1.0939137935638428, 1.9399759769439697, 0.2221231460571289]"
1,6,3.78371000289917,0.9459275007247925,0.7356304273388491,"[0.4618701934814453, 1.5800189971923828, 1.7418208122253418]"
