cnd,cnd2,transient_counts,cdt,mdt,dtstd,key_press_list
0.5,2,14,10.983346223831177,1.5690494605473109,1.147644786373161,"[0.20545506477355957, 2.14113712310791, 3.294002056121826, 0.1417989730834961, 2.861595869064331, 1.293715000152588, 1.0456421375274658]"
2.0,1,12,10.812082767486572,1.8020137945810955,0.7986118050086716,"[0.2454671859741211, 1.6381518840789795, 2.318510055541992, 2.6461098194122314, 1.5738799571990967, 2.3899638652801514]"
2.0,3,22,11.90482783317566,1.0822570757432417,0.7323225810482602,"[0.573681116104126, 0.10096931457519531, 0.8056321144104004, 2.0376498699188232, 2.3344109058380127, 1.0137627124786377, 0.14975786209106445, 0.8157951831817627, 1.9977059364318848, 1.4459218978881836, 0.6295409202575684]"
1.0,2,20,7.776402711868286,0.7776402711868287,0.46513664710831404,"[0.6538939476013184, 0.9149460792541504, 0.23804306983947754, 0.7253670692443848, 0.5738880634307861, 1.2845942974090576, 0.30196285247802734, 1.8490521907806396, 0.3813750743865967, 0.8532800674438477]"
0.5,3,18,11.587680101394653,1.2875200112660725,0.6419104771391684,"[1.9884111881256104, 1.4053850173950195, 1.957819938659668, 0.2135617733001709, 0.6295180320739746, 1.2618560791015625, 0.6949100494384766, 2.1898012161254883, 1.2464168071746826]"
4.0,2,10,12.338695526123047,2.4677391052246094,1.125298440937778,"[0.3010070323944092, 2.8059890270233154, 2.7737457752227783, 3.5962207317352295, 2.8617329597473145]"
4.0,1,14,10.577264070510864,1.511037724358695,0.6231283825320999,"[1.0614891052246094, 1.3180820941925049, 1.8142919540405273, 1.7497961521148682, 0.9178140163421631, 2.7898807525634766, 0.9259099960327148]"
0.5,1,16,12.027463674545288,1.503432959318161,1.0045151293264167,"[0.7418508529663086, 4.117613077163696, 1.2855291366577148, 1.1497201919555664, 1.1631827354431152, 0.966094970703125, 1.3017377853393555, 1.3017349243164062]"
4.0,3,18,14.31594467163086,1.5906605190700955,0.5971806085260642,"[1.8778839111328125, 1.8855860233306885, 1.765885829925537, 0.5257859230041504, 1.9816830158233643, 1.9813060760498047, 1.2936608791351318, 2.358253002166748, 0.6459000110626221]"
1.0,3,22,11.831107378005981,1.075555216182362,0.8896659546625136,"[0.34212470054626465, 1.2779161930084229, 1.037700891494751, 0.5258309841156006, 3.700313091278076, 1.061689853668213, 0.7181551456451416, 1.030083179473877, 0.25374603271484375, 0.7255022525787354, 1.1580450534820557]"
1.0,1,26,11.595977306365967,0.8919982543358436,0.4589647697585474,"[1.5184152126312256, 0.771528959274292, 0.6626060009002686, 0.9771609306335449, 0.7099411487579346, 0.7255208492279053, 0.5577249526977539, 2.1016080379486084, 0.26152801513671875, 0.9412980079650879, 1.0777490139007568, 0.44558119773864746, 0.8453149795532227]"
2.0,2,22,14.299431324005127,1.2999483021822842,0.6595562899545113,"[1.0061509609222412, 1.1523048877716064, 1.261817216873169, 1.3423409461975098, 1.0620167255401611, 2.229656219482422, 0.2376859188079834, 0.733896017074585, 2.470008134841919, 2.0778799057006836, 0.7256743907928467]"
