cnd,cnd2,transient_counts,cdt,mdt,dtstd,key_press_list
4.0,3,16,20.127443552017212,2.5159304440021515,2.4790270620080213,"[1.477712869644165, 0.2700028419494629, 0.613731861114502, 2.2540249824523926, 2.037792921066284, 0.9577720165252686, 8.342654943466187, 4.17375111579895]"
2.0,3,24,13.877845525741577,1.1564871271451314,1.31251881878765,"[0.2693197727203369, 0.44567179679870605, 1.645883321762085, 0.3579227924346924, 1.524940013885498, 0.36554598808288574, 2.446234941482544, 0.7738728523254395, 0.5018501281738281, 4.910655975341797, 0.3579697608947754, 0.27797818183898926]"
1.0,2,20,12.24282956123352,1.2242829561233521,0.7755149418807393,"[0.39078235626220703, 0.6448910236358643, 0.6465680599212646, 1.846130132675171, 1.165376901626587, 2.4858202934265137, 0.12555480003356934, 0.9899749755859375, 2.3497440814971924, 1.5979869365692139]"
0.5,1,14,17.825462341308594,2.546494620186942,1.577186069617447,"[4.686106204986572, 4.685845136642456, 3.2620959281921387, 2.35791015625, 0.8618521690368652, 0.9656689167022705, 1.005983829498291]"
4.0,2,22,18.90389657020569,1.7185360518368809,1.214967508007903,"[0.925501823425293, 2.749897003173828, 1.3580050468444824, 0.9016430377960205, 0.933466911315918, 0.9413740634918213, 5.157892942428589, 1.709873914718628, 1.9104130268096924, 1.2858319282531738, 1.0299968719482422]"
0.5,2,22,10.563663959503174,0.9603330872275613,0.9005333909252061,"[2.8217368125915527, 0.5014379024505615, 0.2437429428100586, 0.3818359375, 2.285230875015259, 0.5897479057312012, 2.05310320854187, 0.20046710968017578, 0.3805220127105713, 0.3731801509857178, 0.732659101486206]"
1.0,3,22,9.51324987411499,0.8648408976468173,0.6140215199831369,"[0.9675610065460205, 0.8697621822357178, 0.8696560859680176, 1.9819450378417969, 0.6938321590423584, 2.12729811668396, 0.4216320514678955, 0.2600882053375244, 0.7657201290130615, 0.2296748161315918, 0.3260800838470459]"
1.0,4,26,10.367560148239136,0.7975046267876258,0.34790809292913105,"[1.8284640312194824, 0.6968522071838379, 0.6461026668548584, 0.7678451538085938, 0.8140370845794678, 0.87754225730896, 0.4771840572357178, 0.8140361309051514, 0.777562141418457, 1.133746862411499, 0.46262288093566895, 0.583493709564209, 0.4880709648132324]"
4.0,1,22,19.292499780654907,1.7538636164231733,1.3322165842859783,"[0.4140298366546631, 2.085961103439331, 0.949847936630249, 0.6548242568969727, 2.4380598068237305, 3.5146689414978027, 3.550089120864868, 0.642549991607666, 0.8200860023498535, 3.928569793701172, 0.29381299018859863]"
2.0,5,24,17.44066834449768,1.4533890287081401,1.3227853708384474,"[0.8151137828826904, 2.2772269248962402, 0.4056398868560791, 0.949815034866333, 5.206576108932495, 0.6620280742645264, 2.249332904815674, 1.1500749588012695, 2.1257708072662354, 0.5977339744567871, 0.2537839412689209, 0.7475719451904297]"
4.0,4,16,19.107404708862305,2.388425588607788,1.702003160588744,"[0.669414758682251, 6.27057409286499, 2.261909008026123, 1.3497049808502197, 3.7365939617156982, 1.1897521018981934, 2.080116033554077, 1.549339771270752]"
4.0,5,20,19.508581399917603,1.9508581399917602,2.084404310676515,"[0.39131593704223633, 2.1659481525421143, 0.8217191696166992, 0.18985700607299805, 4.566112995147705, 1.8538181781768799, 6.85456395149231, 0.4217500686645508, 2.1178839206695557, 0.1256120204925537]"
1.0,5,20,11.538817644119263,1.1538817644119264,0.6659082710569799,"[1.2537620067596436, 2.3350226879119873, 0.38970327377319336, 1.1335339546203613, 0.638023853302002, 0.6780369281768799, 0.973358154296875, 0.5177750587463379, 2.381931781768799, 1.2376699447631836]"
2.0,1,18,15.447343826293945,1.7163715362548828,1.4544705351791882,"[2.8460988998413086, 0.3739941120147705, 0.6300108432769775, 0.07789993286132812, 1.294929027557373, 4.974261045455933, 2.334172010421753, 2.0863490104675293, 0.8296289443969727]"
0.5,5,6,21.91654372215271,7.305514574050903,6.483297088029119,"[3.221575975418091, 16.45668888092041, 2.238278865814209]"
1.0,1,20,9.68239688873291,0.968239688873291,0.47550169071849213,"[0.30949974060058594, 1.3521199226379395, 1.0135829448699951, 0.7818009853363037, 1.2535550594329834, 1.7739660739898682, 0.49335765838623047, 0.492887020111084, 0.6459362506866455, 1.5656912326812744]"
2.0,4,18,18.936524152755737,2.1040582391950817,1.7247093928476884,"[1.9578487873077393, 5.40653395652771, 1.7842769622802734, 1.7578308582305908, 4.97475004196167, 0.9117739200592041, 1.0140187740325928, 0.43790173530578613, 0.6915891170501709]"
2.0,2,18,18.765984296798706,2.0851093663109674,2.09069075014832,"[1.6457653045654297, 6.182359933853149, 0.23776507377624512, 1.4858548641204834, 0.4370999336242676, 2.470304012298584, 0.6466999053955078, 5.334399938583374, 0.32573533058166504]"
0.5,3,22,16.80309796333313,1.5275543603030117,0.7832876859472211,"[2.6025140285491943, 0.9257869720458984, 1.7078900337219238, 2.006072759628296, 0.16570425033569336, 0.5260212421417236, 1.1507530212402344, 1.2053818702697754, 2.493882894515991, 1.5258760452270508, 2.4932148456573486]"
0.5,4,12,19.615172624588013,3.2691954374313354,1.3089989776719635,"[4.999240875244141, 2.047750949859619, 4.078346014022827, 4.445897817611694, 1.453909158706665, 2.5900278091430664]"
