cnd,transient_counts,cdt,mdt,dtstd,key_press_list
-6,14,8.726338386535645,1.246619769505092,0.46952395134118835,"[1.1492648124694824, 0.7249999046325684, 1.26143479347229, 1.8058598041534424, 0.5896329879760742, 1.2296960353851318, 1.9654500484466553]"
-6,14,5.446747303009033,0.7781067575727191,0.2913184172940811,"[0.46955013275146484, 1.1494560241699219, 0.5016820430755615, 0.9816069602966309, 0.8051290512084961, 0.42162299156188965, 1.1177000999450684]"
0,18,8.579464435577393,0.9532738261752658,0.3941636678760096,"[0.7170648574829102, 1.0377311706542969, 1.3501782417297363, 1.5660998821258545, 0.8536050319671631, 0.6696891784667969, 1.3497369289398193, 0.8136918544769287, 0.22166728973388672]"
-4,10,7.81934118270874,1.563868236541748,0.22860312455636145,"[1.4853529930114746, 1.597654104232788, 1.933387041091919, 1.5813381671905518, 1.2216088771820068]"
-4,12,6.0259246826171875,1.004320780436198,0.36454968236980007,"[1.117717981338501, 1.1736910343170166, 0.9898362159729004, 0.4216041564941406, 1.589691162109375, 0.7333841323852539]"
0,20,10.015830039978027,1.0015830039978026,0.342216734560241,"[0.5814588069915771, 1.453505039215088, 1.2294740676879883, 0.9495091438293457, 0.5895159244537354, 1.2214908599853516, 0.45383191108703613, 0.9258530139923096, 1.1894779205322266, 1.4217133522033691]"
-4,12,6.681500196456909,1.1135833660761516,0.4095206043538521,"[1.4774799346923828, 1.357367753982544, 0.7254478931427002, 0.3898477554321289, 1.4458189010620117, 1.2855379581451416]"
0,16,9.701032161712646,1.2126290202140808,0.557646624704434,"[0.33354806900024414, 0.4534299373626709, 2.0458579063415527, 1.5656929016113281, 1.117616891860962, 1.6136572360992432, 1.0218322277069092, 1.5493969917297363]"
-6,16,6.605273008346558,0.8256591260433197,0.23599997775991388,"[0.9731240272521973, 0.5656499862670898, 0.8855741024017334, 0.4378209114074707, 1.0296010971069336, 0.5977427959442139, 1.0780999660491943, 1.0376601219177246]"
-4,12,6.3534722328186035,1.0589120388031006,0.5925222591685132,"[2.037297010421753, 1.4455552101135254, 0.9178040027618408, 1.1656019687652588, 0.5975799560546875, 0.18963408470153809]"
0,20,10.921320915222168,1.0921320915222168,0.4939346327167397,"[0.5892658233642578, 0.3899080753326416, 1.4856479167938232, 1.7019970417022705, 1.181602954864502, 0.8695111274719238, 1.4058470726013184, 0.2933518886566162, 1.6376688480377197, 1.3665201663970947]"
0,24,9.947575807571411,0.8289646506309509,0.27590613061617353,"[0.3177628517150879, 0.901249885559082, 1.0697641372680664, 0.8535940647125244, 0.7178668975830078, 0.8455920219421387, 0.47783398628234863, 1.1816651821136475, 0.5097999572753906, 1.2694518566131592, 1.0054690837860107, 0.7975258827209473]"
-6,16,7.749112844467163,0.9686391055583954,0.3049452061076987,"[1.1413488388061523, 1.0617899894714355, 1.3898849487304688, 1.1098530292510986, 0.5894157886505127, 1.2615129947662354, 0.557706356048584, 0.6376008987426758]"
-4,12,7.691559076309204,1.2819265127182007,0.45505919073752865,"[0.517401933670044, 1.8536462783813477, 1.5412158966064453, 1.3416907787322998, 0.863598108291626, 1.5740060806274414]"
-6,18,7.610680103302002,0.8456311225891113,0.253103264140766,"[0.6295130252838135, 0.9738161563873291, 1.245790958404541, 1.0138740539550781, 0.6057119369506836, 0.509213924407959, 0.9813680648803711, 1.0855250358581543, 0.5658669471740723]"
