cnd,transient_counts,cdt,mdt,dtstd,key_press_list
0,12,16.23363947868347,2.7056065797805786,1.7243586858739837,"[1.5817267894744873, 1.6216037273406982, 3.3735830783843994, 6.117546796798706, 2.653480052947998, 0.8856990337371826]"
-3,14,10.911659955978394,1.5588085651397705,0.5899005963873587,"[2.109360933303833, 0.6698708534240723, 1.2299489974975586, 1.3975770473480225, 1.1336970329284668, 1.8377840518951416, 2.533421039581299]"
-3,22,12.174908638000488,1.1068098761818626,0.6794816835311103,"[1.3898391723632812, 0.3096339702606201, 0.7897887229919434, 1.8294126987457275, 0.21361184120178223, 2.229816198348999, 1.5575628280639648, 1.8698880672454834, 1.0939619541168213, 0.5498061180114746, 0.3415870666503906]"
-6,20,13.187412977218628,1.3187412977218629,0.7313014987781816,"[1.8055670261383057, 0.8858098983764648, 1.3017621040344238, 0.6538138389587402, 0.7097201347351074, 2.5896458625793457, 0.8536789417266846, 0.8317933082580566, 0.8777618408203125, 2.6778600215911865]"
0,20,18.73597526550293,1.8735975265502929,2.040067613787583,"[1.3578150272369385, 0.9816827774047852, 2.5578060150146484, 0.765667200088501, 1.1575040817260742, 0.9011409282684326, 0.837367057800293, 1.8055071830749512, 7.765733003616333, 0.6057519912719727]"
-3,18,13.786624431610107,1.5318471590677898,0.9063815246337062,"[0.9254179000854492, 2.197638988494873, 0.5497221946716309, 0.6295087337493896, 1.0938160419464111, 2.525681734085083, 1.6612579822540283, 0.8856630325317383, 3.317917823791504]"
-3,22,9.517894506454468,0.8652631369504061,0.3682283650007478,"[1.3971750736236572, 0.7736530303955078, 0.5338046550750732, 0.9976651668548584, 0.8935558795928955, 0.3656730651855469, 0.3337118625640869, 1.49393892288208, 0.7497289180755615, 0.7654290199279785, 1.2135589122772217]"
0,24,19.437459468841553,1.6197882890701294,0.6210689322021602,"[1.6856741905212402, 0.6377391815185547, 2.4777679443359375, 1.014845848083496, 1.3577020168304443, 1.773190975189209, 3.0456550121307373, 1.1103830337524414, 1.349755048751831, 1.4296061992645264, 1.6933529376983643, 1.8617870807647705]"
-6,22,10.246012926101685,0.9314557205546986,0.3855083540290686,"[0.78177809715271, 0.8617002964019775, 0.7335700988769531, 1.3657360076904297, 0.6935408115386963, 0.5656261444091797, 1.9176688194274902, 1.0376818180084229, 0.5338258743286133, 1.0214509963989258, 0.7334339618682861]"
-6,22,8.813728332519531,0.8012480302290483,0.3737748388323774,"[0.6773529052734375, 0.7493598461151123, 1.765449047088623, 0.749732255935669, 0.3335239887237549, 1.0696778297424316, 0.6936302185058594, 0.33384203910827637, 0.7178292274475098, 1.0217819213867188, 0.7015490531921387]"
-6,20,9.793927907943726,0.9793927907943726,0.5831454970663252,"[1.1336572170257568, 0.5892720222473145, 0.7976219654083252, 0.893723726272583, 0.5332727432250977, 0.7595820426940918, 0.5096518993377686, 0.5017762184143066, 2.389918088912964, 1.6854519844055176]"
-3,20,14.136073589324951,1.4136073589324951,0.5794330843454223,"[1.2614727020263672, 1.125709056854248, 0.5816221237182617, 2.525607109069824, 1.5016999244689941, 1.405545949935913, 0.869434118270874, 2.0532708168029785, 0.8538529872894287, 1.9578588008880615]"
-6,18,9.601541757583618,1.0668379730648465,0.8667852982210147,"[0.5494930744171143, 1.8129329681396484, 1.2530648708343506, 0.509788990020752, 0.525825023651123, 3.2056610584259033, 0.533728837966919, 0.6934909820556641, 0.5175559520721436]"
0,20,19.69794011116028,1.969794011116028,1.4959839848448027,"[5.173730134963989, 1.821666955947876, 4.3898749351501465, 0.8696658611297607, 2.1657588481903076, 1.2138550281524658, 1.4778790473937988, 1.0856952667236328, 1.2058420181274414, 0.2939720153808594]"
0,24,16.205806016921997,1.3504838347434998,0.47535796896827304,"[2.2616031169891357, 1.8537952899932861, 1.157646894454956, 1.717566967010498, 1.614339828491211, 0.7176051139831543, 1.677624225616455, 1.2457520961761475, 1.4378509521484375, 1.0296742916107178, 0.8625931739807129, 0.6297540664672852]"
