cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
3,1,6,1.7762141227722168,0.4440535306930542,0.3347890099620216,"[0.8610942363739014, 0.2615199089050293, 0.6535999774932861]"
-9,-1,14,12.967955112457275,1.6209943890571594,1.3473673585489665,"[0.7334399223327637, 0.9736011028289795, 0.8778951168060303, 3.957824945449829, 3.7418830394744873, 1.237987995147705, 1.4453229904174805]"
6,1,10,4.083513975143433,0.6805856625239054,0.34185597432666764,"[0.6293621063232422, 0.613569974899292, 1.0132098197937012, 0.9897480010986328, 0.8376240730285645]"
-6,-1,6,3.1203866004943848,0.7800966501235962,0.6351137517775723,"[0.5096111297607422, 0.8695533275604248, 1.7412221431732178]"
12,1,18,9.611135244369507,0.9611135244369506,0.5960998137315721,"[1.5655841827392578, 0.4057199954986572, 1.245711088180542, 0.6456258296966553, 0.6295490264892578, 0.365772008895874, 1.8857131004333496, 1.3657150268554688, 1.5017449855804443]"
-6,-1,12,5.184706449508667,0.7406723499298096,0.7244487070969285,"[0.7257399559020996, 0.40557003021240234, 1.0292739868164062, 2.3093557357788086, 0.06175684928894043, 0.6530098915100098]"
9,1,18,11.234680652618408,1.1234680652618407,0.8000849350410822,"[0.893528938293457, 0.5734579563140869, 0.7097029685974121, 1.781708002090454, 0.5096070766448975, 2.045804738998413, 2.773432970046997, 0.6699509620666504, 1.27748703956604]"
-12,-1,14,10.679108619689941,1.3348885774612427,1.2460031534526674,"[0.5097110271453857, 1.3975560665130615, 3.4696738719940186, 0.9816617965698242, 3.3014509677886963, 0.36542487144470215, 0.6536300182342529]"
12,1,16,12.637523412704468,1.4041692680782742,1.1990440811021752,"[0.9495983123779297, 0.829686164855957, 1.6538031101226807, 3.9901108741760254, 0.6611289978027344, 0.38176798820495605, 1.3257229328155518, 2.845705032348633]"
-12,-1,14,12.864384174346924,1.6080480217933655,1.4794081600831186,"[0.4775571823120117, 1.781566858291626, 5.118156909942627, 1.365906000137329, 1.6618540287017822, 0.5417320728302002, 1.9176111221313477]"
3,1,6,4.800471544265747,1.2001178860664368,1.2041775423045906,"[0.525371789932251, 1.1014389991760254, 3.1736607551574707]"
9,1,12,11.451642990112305,1.635948998587472,1.4139958464445066,"[1.2955513000488281, 1.0697638988494873, 1.117626667022705, 3.805474042892456, 3.741461992263794, 0.4217650890350342]"
-3,-1,10,3.035707950592041,0.5059513250986735,0.2791883172865134,"[0.933690071105957, 0.46161985397338867, 0.629082202911377, 0.5818250179290771, 0.4294908046722412]"
3,1,4,2.170930862426758,0.7236436208089193,0.6525852828535846,"[1.5815060138702393, 0.5894248485565186]"
6,1,8,6.9340667724609375,1.3868133544921875,0.9044574294756794,"[1.7655208110809326, 0.9092531204223633, 2.717813014984131, 1.5414798259735107]"
-9,-1,12,8.507424354553223,1.215346336364746,0.7840573432045036,"[1.2616660594940186, 1.0792818069458008, 1.4217042922973633, 0.797370195388794, 2.821640968322754, 1.1257610321044922]"
-6,-1,10,4.709228992462158,0.784871498743693,0.5001796127170427,"[1.2697501182556152, 0.7330727577209473, 0.629284143447876, 0.5413990020751953, 1.5357229709625244]"
6,1,10,2.9158859252929688,0.4859809875488281,0.31829765943714405,"[0.5334019660949707, 0.45375704765319824, 0.40549302101135254, 0.4375898838043213, 1.085644006729126]"
12,1,16,16.90307092666626,1.8781189918518066,2.161157237565559,"[1.9415757656097412, 0.5497479438781738, 3.3096060752868652, 0.8050510883331299, 2.0458290576934814, 0.6236512660980225, 0.3178591728210449, 7.309750556945801]"
9,1,14,13.151704549789429,1.6439630687236786,1.2705411379962739,"[1.8059780597686768, 1.4932608604431152, 0.9257729053497314, 1.1815268993377686, 0.45345282554626465, 3.6298861503601074, 3.6618268489837646]"
-3,-1,8,2.813765525817871,0.5627531051635742,0.4580664122304619,"[1.1809320449829102, 0.06176304817199707, 0.781463623046875, 0.7896068096160889]"
-3,-1,2,0.4294559955596924,0.2147279977798462,0.2147279977798462,[0.4294559955596924]
-9,-1,14,11.456587791442871,1.4320734739303589,0.7620716344700671,"[1.4056968688964844, 2.429971933364868, 2.3337409496307373, 1.9658722877502441, 0.7817838191986084, 1.1575531959533691, 1.3819687366485596]"
-12,-1,14,16.584497451782227,2.0730621814727783,1.4739210513422274,"[1.189620018005371, 4.021931171417236, 2.549773931503296, 2.861895799636841, 0.7335360050201416, 0.9898922443389893, 4.237848281860352]"
